美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
无间道,2002,9.3,1203213人评价
疯狂动物城,2016,9.2,1715399人评价
大话西游之大圣娶亲,1995,9.2,1394697人评价
熔炉,2011,9.3,849038人评价
控方证人,1957,9.6,454580人评价
教父,1972,9.3,863392人评价
当幸福来敲门,2006,9.2,1384203人评价
触不可及,2011,9.3,963879人评价
怦然心动,2010,9.1,1657943人评价
肖申克的救赎,1994,9.7,2606202人评价
霸王别姬,1993,9.6,1935309人评价
阿甘正传,1994,9.5,1958927人评价
泰坦尼克号,1997,9.4,1919598人评价
这个杀手不太冷,1994,9.4,2111915人评价
美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
无间道,2002,9.3,1203213人评价
疯狂动物城,2016,9.2,1715399人评价
大话西游之大圣娶亲,1995,9.2,1394697人评价
熔炉,2011,9.3,849038人评价
控方证人,1957,9.6,454580人评价
教父,1972,9.3,863392人评价
当幸福来敲门,2006,9.2,1384203人评价
触不可及,2011,9.3,963879人评价
怦然心动,2010,9.1,1657943人评价
肖申克的救赎,1994,9.7,2606202人评价
霸王别姬,1993,9.6,1935309人评价
阿甘正传,1994,9.5,1958927人评价
泰坦尼克号,1997,9.4,1919598人评价
这个杀手不太冷,1994,9.4,2111915人评价
美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
无间道,2002,9.3,1203213人评价
疯狂动物城,2016,9.2,1715399人评价
大话西游之大圣娶亲,1995,9.2,1394697人评价
熔炉,2011,9.3,849038人评价
控方证人,1957,9.6,454580人评价
教父,1972,9.3,863392人评价
当幸福来敲门,2006,9.2,1384203人评价
触不可及,2011,9.3,963879人评价
怦然心动,2010,9.1,1657943人评价
肖申克的救赎,1994,9.7,2606202人评价
霸王别姬,1993,9.6,1935309人评价
阿甘正传,1994,9.5,1958927人评价
泰坦尼克号,1997,9.4,1919598人评价
这个杀手不太冷,1994,9.4,2111915人评价
美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
无间道,2002,9.3,1203213人评价
疯狂动物城,2016,9.2,1715399人评价
大话西游之大圣娶亲,1995,9.2,1394697人评价
熔炉,2011,9.3,849038人评价
控方证人,1957,9.6,454580人评价
教父,1972,9.3,863392人评价
当幸福来敲门,2006,9.2,1384203人评价
触不可及,2011,9.3,963879人评价
怦然心动,2010,9.1,1657943人评价
肖申克的救赎,1994,9.7,2606202人评价
霸王别姬,1993,9.6,1935309人评价
阿甘正传,1994,9.5,1958927人评价
泰坦尼克号,1997,9.4,1919598人评价
这个杀手不太冷,1994,9.4,2111915人评价
美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
无间道,2002,9.3,1203213人评价
疯狂动物城,2016,9.2,1715399人评价
大话西游之大圣娶亲,1995,9.2,1394697人评价
熔炉,2011,9.3,849038人评价
控方证人,1957,9.6,454580人评价
教父,1972,9.3,863392人评价
当幸福来敲门,2006,9.2,1384203人评价
触不可及,2011,9.3,963879人评价
怦然心动,2010,9.1,1657943人评价
肖申克的救赎,1994,9.7,2606202人评价
霸王别姬,1993,9.6,1935309人评价
阿甘正传,1994,9.5,1958927人评价
泰坦尼克号,1997,9.4,1919598人评价
这个杀手不太冷,1994,9.4,2111915人评价
美丽人生,1997,9.6,1203706人评价
千与千寻,2001,9.4,2036346人评价
辛德勒的名单,1993,9.6,1003964人评价
盗梦空间,2010,9.4,1878125人评价
忠犬八公的故事,2009,9.4,1285446人评价
星际穿越,2014,9.4,1566532人评价
楚门的世界,1998,9.3,1489031人评价
海上钢琴师,1998,9.3,1527215人评价
三傻大闹宝莱坞,2009,9.2,1704888人评价
机器人总动员,2008,9.3,1202868人评价
放牛班的春天,2004,9.3,1188185人评价
